COND,Car Model,wh_per_km_raw
1.0,JAC iEV7s,214.58333468437198
2.0,JAC iEV7s,214.58333468437192
1.0,Kia EV3,209.62187029860615
2.0,Kia EV3,209.6218702986061
1.0,Tesla Model 3 ,167.44942301959662
2.0,Tesla Model 3 ,167.4494230195966
1.0,Renault Scenic,218.30443297369632
2.0,Renault Scenic,218.30443297369627
1.0,Jeep Avenger,203.42003981639886
2.0,Jeep Avenger,203.4200398163988
1.0,Peugeot E-2008,209.62187029860615
2.0,Peugeot E-2008,209.6218702986061
1.0,Hyundai Kona Electric,203.42003981639886
2.0,Hyundai Kona Electric,203.4200398163988
1.0,Skoda Enyaq,203.42003981639886
2.0,Skoda Enyaq,203.4200398163988
1.0,Porsche Taycan,205.90077200928178
2.0,Porsche Taycan,205.90077200928172
1.0,Hyundai IONIQ 5 ,215.82370078081345
2.0,Hyundai IONIQ 5 ,215.8237007808134
1.0,Tesla Model Y Premium RWD,199.6989415270745
2.0,Tesla Model Y Premium RWD,199.69894152707445
1.0,Volkswagen ID.4 Pro ,215.82370078081345
2.0,Volkswagen ID.4 Pro ,215.8237007808134
1.0,Volkswagen ID. 7 Tourer Pro S ,207.14113810572323
2.0,Volkswagen ID. 7 Tourer Pro S ,207.1411381057232
1.0,Renault 5 E-Tech ,195.97784323775014
2.0,Renault 5 E-Tech ,195.97784323775008
1.0,BMW iX1 eDrive20,204.66040591284033
2.0,BMW iX1 eDrive20,204.66040591284028
1.0,Audi Q6 SUV e-tron,238.15029051675964
2.0,Audi Q6 SUV e-tron,238.15029051675955
1.0,Audi Q4 e-tron 45,228.22736174522797
2.0,Audi Q4 e-tron 45,228.2273617452279
1.0,Skoda Elroq 60,210.8622363950476
2.0,Skoda Elroq 60,210.86223639504755
1.0,Mercedes Benz EQA 250,208.38150420216468
2.0,Mercedes Benz EQA 250,208.38150420216462
1.0,Volvo EX30 Single Motor ER,223.26589735946214
2.0,Volvo EX30 Single Motor ER,223.2658973594621
1.0,Cupra Born e-boost ,209.62187029860615
2.0,Cupra Born e-boost ,209.6218702986061
1.0,Mercedes-Benz CLA ,182.3338161768941
2.0,Mercedes-Benz CLA ,182.33381617689406
1.0,Citroen C5,249.31358538473273
2.0,Citroen C5,249.31358538473268
1.0,BMW i4 eDrive40,192.25674494842576
2.0,BMW i4 eDrive40,192.25674494842573
1.0,Volkswagen ID.3 Pro S,207.14113810572323
2.0,Volkswagen ID.3 Pro S,207.1411381057232
1.0,Jaecoo 5EV,226.98699564878655
2.0,Jaecoo 5EV,226.9869956487865
1.0,Ford Puma Gen-E,197.21820933419158
2.0,Ford Puma Gen-E,197.21820933419156
1.0,Vauxhall Frontera Electric,228.22736174522797
2.0,Vauxhall Frontera Electric,228.2273617452279
1.0,Nissan LEAF ,207.14113810572323
2.0,Nissan LEAF ,207.1411381057232
