feature,mean_abs_shap
CUR,5.034154928585788
time_difference,2.3569261716983414
ACC,0.6989214699737213
road_gradient,0.2801548895876095
VOL,0.19937729371101887
ODO,0.1314242976237348
altitude_change,0.11373387412015418
total_seconds,0.11109975159640112
AX,0.09770750003328807
LAT,0.09232910795304683
speed_roll,0.09165101624780864
SPD,0.08720216494598768
gyroscope_magnitude,0.08365179903964269
AY,0.07562631438364419
GY,0.0753003695417954
CH,0.07155235078538262
GX,0.07129198463636584
AZ,0.06171400676664299
acceleration_magnitude_roll,0.0466068209176399
odometer_change,0.04522428374246046
acceleration_magnitude,0.04109985576919289
GZ,0.04017309993340062
ALT,0.03408250078065217
AUT,0.022695089573542958
LON,0.005309815595876275
AIR,0.0011165362864928848
ECO,0.0
BRK,0.0
Y,0.0
M,0.0
D,0.0
