Car Model,Energy Consumption (Wh/KM)
JAC iEV7s,173
Kia EV3,169
Tesla Model 3,135
Renault Scenic,176
Jeep Avenger,164
Peugeot E-2008,169
Hyundai Kona Electric,164
Skoda Enyaq,164
Porsche Taycan,166
Hyundai IONIQ 5,174
Tesla Model Y Premium RWD,161
Volkswagen ID.4 Pro,174
Volkswagen ID. 7 Tourer Pro S,167
Renault 5 E-Tech,158
BMW iX1 eDrive20,165
Audi Q6 SUV e-tron,192
Audi Q4 e-tron 45,184
Skoda Elroq 60,170
Mercedes Benz EQA 250,168
Volvo EX30 Single Motor ER,180
Cupra Born e-boost,169
Mercedes-Benz CLA,147
Citroen C5,201
BMW i4 eDrive40,155
Volkswagen ID.3 Pro S,167
Jaecoo 5EV,183
Ford Puma Gen-E,159
Vauxhall Frontera Electric,184
Nissan LEAF,167
