COND,Car Model,wh_per_km_raw
7.0,JAC iEV7s,205.8633882191212
8.0,JAC iEV7s,198.84717856459963
7.0,Kia EV3,201.1035410926675
8.0,Kia EV3,194.24955593882854
7.0,Tesla Model 3 ,160.64484051781133
8.0,Tesla Model 3 ,155.16976361977427
7.0,Renault Scenic,209.43327356396142
8.0,Renault Scenic,202.29539553392794
7.0,Jeep Avenger,195.15373218460044
8.0,Jeep Avenger,188.50252765661466
7.0,Peugeot E-2008,201.1035410926675
8.0,Peugeot E-2008,194.24955593882854
7.0,Hyundai Kona Electric,195.15373218460044
8.0,Hyundai Kona Electric,188.50252765661466
7.0,Skoda Enyaq,195.15373218460044
8.0,Skoda Enyaq,188.50252765661466
7.0,Porsche Taycan,197.53365574782725
8.0,Porsche Taycan,190.80133896950022
7.0,Hyundai IONIQ 5 ,207.0533500007346
8.0,Hyundai IONIQ 5 ,199.9965842210424
